  
               LISTA FACTURI  
   ===================================================  
   ||CRT||COD||        NUME        || AN ||  VALOARE||   
   ===================================================  
   ||  1||  1||             calypso||2020||  456.330||
   ||  2|| 11||             floryda||2019||  789.770||
   ||  3|| 20||               aldis||2019||  101.020||
   ||  4|| 23||                acer||2020||  876.660||
   ||  5|| 29||                iaki||2020||  765.000||
   ||  6|| 34||                eden||2020||  898.000||
   ||  7|| 44||              trinex||2018||  345.880||
   ||  8|| 46||            westeros||2020||  341.800||
   ||  9|| 56||                joya||2019||  901.200||
   || 10|| 57||             garnier||2019||  880.800||
   || 11|| 67||               wella||2020||  676.000||
   || 12|| 78||                uhan||2020||  676.000||
   || 13|| 89||               eddas||2019||  567.880||
   || 14|| 90||                asus||2020||  800.990||
   || 15|| 91||               keran||2018||  999.890||
   || 16|| 98||             maestro||2020||  898.000||
   || 17|| 99||              bistro||2018||  334.560||
   || 18||100||             rowenta||2020||  456.600||
   || 19||181||               apple||2020||  999.990||
   || 20||250||              tyrell||2020||  909.000||
   || 21||567||                olla||2019||  455.000||
   || 22||909||             avicola||2018||  966.400||
